name,method,orbitalPeriod,mass,radius,semimajor,density,composition,dist,luminosity,Habitable?
Kepler-117 b,Transit,18.7959228,0.094,0.719,0.1445,0.3,Hot Jupiter,1430.0,8.579468639329,False
Kepler-117 c,Transit,50.790391,1.84,1.101,0.2804,1.74,Neptune,1430.0,8.579468639329,False
HAT-P-37 b,Transit,2.797436,1.169,1.178,0.0379,0.89,Hot Jupiter,411.0,0.5186765168640001,False
HAT-P-38 b,Transit,4.640382,0.267,0.825,0.0523,0.59,Hot Jupiter,249.0,0.5674548636160001,False
HAT-P-39 b,Transit,3.54387,0.599,1.571,0.0509,0.19,Hot Jupiter,642.0,13.499451705600002,False
HAT-P-42 b,Transit,4.641878,1.044,1.28,0.0575,0.61,Hot Jupiter,447.0,7.630091356644,False
HAT-P-43 b,Transit,3.332687,0.662,1.281,0.0443,0.39,Hot Jupiter,542.0,1.6141702500000006,False
HAT-P-44 b,Transit,4.301219,0.352,1.242,0.0507,0.23,Hot Jupiter,363.0,0.7196977224999999,False
HAT-P-45 b,Transit,3.128992,0.892,1.426,0.0452,0.38,Hot Jupiter,305.0,4.819886539776001,False
HAT-P-46 b,Transit,4.463129,0.493,1.284,0.0577,0.28,Hot Jupiter,296.0,6.294077439999999,False
HAT-P-54 b,Transit,3.799847,0.76,0.944,0.04117,1.118,Hot Jupiter,144.25,0.0624300196,False
HATS-1 b,Transit,3.446459,1.855,1.302,0.0444,1.03,Hot Jupiter,303.0,1.146578374656,False
HATS-2 b,Transit,1.354133,1.345,1.168,0.023,1.05,Hot Jupiter,360.0,0.50808384,False
HATS-3 b,Transit,3.547851,1.071,1.381,0.0485,0.51,Hot Jupiter,453.0,5.6244865599999985,False
Kepler-74 b,Transit,7.340711,0.63,0.96,0.0781,0.88,Hot Jupiter,1218.33,2.190968356864001,False
Kepler-80 e,Transit,4.64489,0.01299,0.143,0.0491,3.75,Mars,357.0,0.11394135270400002,False
Kepler-87 b,Transit,114.73635,1.02,1.204,0.481,0.729,Hot Jupiter,1277.88,13.276112449600005,False
Kepler-87 c,Transit,191.2318,0.02,0.548,0.676,0.152,Hot Jupiter,1277.88,13.276112449600005,False
KOI-94 b,Transit,3.743208,0.033,0.153,0.05119,10.1,lead,483.65,8.745694265344,False
KOI-94 c,Transit,10.423648,0.049,0.385,0.1013,0.91,Hot Jupiter,483.65,8.745694265344,False
KOI-94 d,Transit,22.342989,0.334,1.005,0.1684,0.363,Hot Jupiter,483.65,8.745694265344,False
KOI-94 e,Transit,54.32031,0.11,0.585,0.3046,0.6,Hot Jupiter,483.65,8.745694265344,False
KELT-1 b,Transit,1.217514,27.23,1.11,0.02466,24.7,gold,262.0,7.916975218944,False
Kepler-4 b,Transit,3.21346,0.077,0.357,0.0456,1.91,Neptune,550.0,7.336091424484,False
Kepler-5 b,Transit,3.5484657,2.111,1.426,0.0538,0.4,Hot Jupiter,923.41,19.268737406689006,False
Kepler-6 b,Transit,3.2346996,0.668,1.304,0.04852,0.4,Hot Jupiter,597.14,5.465500541280998,False
Kepler-7 b,Transit,4.8854892,0.441,1.622,0.06067,0.14,Hot Jupiter,947.46,27.857537344576006,False
Kepler-8 b,Transit,3.5224991,0.59,1.416,0.0474,0.27,Hot Jupiter,1052.9,7.216320515041,False
Kepler-9 b,Transit,19.24,0.252,0.842,0.14,0.524,Hot Jupiter,650.0,1.239276579984,False
Kepler-91 b,Transit,6.24658,0.81,1.367,0.0731,0.4,Hot Jupiter,1344.56,2703.36563721,False
Kepler-9 c,Transit,38.91,0.171,0.823,0.225,0.383,Hot Jupiter,650.0,1.239276579984,False
Kepler-10 b,Transit,0.837491,0.0145,0.132,0.0172,8.0,iron,186.5,1.0454571705760003,False
Kepler-11 b,Transit,10.3039,0.006,0.161,0.091,1.72,Neptune,658.59,1.1634987663360004,False
Kepler-11 c,Transit,13.0241,0.009,0.256,0.107,0.66,Hot Jupiter,658.59,1.1634987663360004,False
Kepler-11 d,Transit,22.6845,0.023,0.278,0.155,1.28,Hot Jupiter,658.59,1.1634987663360004,False
Kepler-11 e,Transit,31.9996,0.025,0.374,0.195,0.58,Hot Jupiter,658.59,1.1634987663360004,False
Kepler-11 f,Transit,46.6888,0.006,0.222,0.25,0.69,Hot Jupiter,658.59,1.1634987663360004,False
Kepler-11 g,Transit,118.3807,0.079,0.297,0.466,4.0,Mars,658.59,1.1634987663360004,False
Kepler-12 b,Transit,4.4379629,0.432,1.754,0.0553,0.11,Hot Jupiter,904.4,6.567779821823999,False
KOI-13 b,Transit,1.763588,9.28,1.512,0.03641,3.6,Mars,415.0,27.117764630783995,False
Kepler-15 b,Transit,4.942782,0.66,0.96,0.05714,0.93,Hot Jupiter,755.38,0.9994040888039999,False
Kepler-16 b,Transit,228.776,0.333,0.754,0.7048,0.964,Hot Jupiter,75.25,0.084986825625,False
Kepler-17 b,Transit,1.4857108,2.45,1.31,0.02591,1.35,Hot Jupiter,800.0,1.6355852100000001,False
Kepler-101 b,Transit,3.4876812,0.16,0.51,0.0474,1.45,Hot Jupiter,953.44,8.107185625344,False
Kepler-101 c,Transit,6.02976,0.01,0.112,0.0684,10.5,lead,953.44,8.107185625344,False
Kepler-34 b,Transit,288.822,0.22,0.764,1.0896,0.613,Hot Jupiter,1499.0,1.9962298943999994,False
Kepler-35 b,Transit,131.458,0.127,0.728,0.60347,0.41,Hot Jupiter,1645.0,0.8915155284010001,False
Kepler-36 b,Transit,13.83989,0.014,0.133,0.1153,7.46,iron,470.0,8.081983751688998,False
Kepler-36 c,Transit,16.23855,0.025,0.328,0.1283,0.89,Hot Jupiter,470.0,8.081983751688998,False
Kepler-39 b,Transit,21.08721,20.1,1.24,0.164,13.0,lead,1090.44,6.3928065599999995,False
Kepler-40 b,Transit,6.87349,2.2,1.17,0.08,1.68,Neptune,2700.0,45.086014310543995,False
Kepler-41 b,Transit,1.8555582,0.56,1.29,0.03101,0.33,Hot Jupiter,1128.11,3.662305101225,False
55 Cnc e,Radial Velocity,0.736539,0.02542,0.17,0.01544,6.4,Earth,12.59,0.6465382137759998,False
Kepler-43 b,Transit,3.0240949,3.23,1.219,0.046,5.0,Earth,1035.9,7.084370075904,False
Kepler-44 b,Transit,3.2467293,1.0,1.09,0.0446,0.93,Hot Jupiter,1229.15,4.166497440000001,False
Kepler-45 b,Transit,2.455239,0.505,0.96,0.03,0.8,Hot Jupiter,333.0,0.031853325625000005,False
Kepler-47 b,Transit,49.4643,0.00651,0.272,0.2877,0.4,Hot Jupiter,1055.33,0.7195382415359998,False
Kepler-47 c,Transit,303.227,0.00997,0.415,0.9638,0.17,Hot Jupiter,1055.33,0.7195382415359998,False
Kepler-75 b,Transit,8.8849116,10.1,1.05,0.0818,11.0,lead,855.5,0.519568497721,False
Kepler-76 b,Orbital Brightness Modulation,1.5449298,2.01,1.36,0.0274,1.1,Hot Jupiter,842.87,4.3717791744,False
Kepler-77 b,Transit,3.57878087,0.43,0.96,0.04501,0.603,Hot Jupiter,570.0,0.866937899025,False
Kepler-79 b,Transit,13.4845,0.0343,0.31,0.117,1.43,Hot Jupiter,1051.43,3.9097152900000003,False
Kepler-18 b,Transit,3.504725,0.022,0.178,0.0447,4.9,Earth,438.51,1.4283524487690002,False
Kepler-18 c,Transit,7.64159,0.054,0.49,0.0752,0.59,Hot Jupiter,438.51,1.4283524487690002,False
Kepler-18 d,Transit,14.85888,0.052,0.623,0.1172,0.27,Hot Jupiter,438.51,1.4283524487690002,False
Kepler-51 b,Transit,45.154,0.007,0.633,0.2514,0.03,Hot Jupiter,801.76,0.8444580751359999,False
Kepler-51 c,Transit,85.312,0.013,0.803,0.384,0.03,Hot Jupiter,801.76,0.8444580751359999,False
Kepler-51 d,Transit,130.194,0.024,0.865,0.509,0.046,Hot Jupiter,801.76,0.8444580751359999,False
Kepler-79 c,Transit,27.4029,0.019,0.332,0.187,0.62,Hot Jupiter,1051.43,3.9097152900000003,False
Kepler-79 d,Transit,52.0902,0.019,0.639,0.287,0.09,Hot Jupiter,1051.43,3.9097152900000003,False
Kepler-79 e,Transit,81.0659,0.013,0.311,0.386,0.53,Hot Jupiter,1051.43,3.9097152900000003,False
Kepler-80 b,Transit,7.05246,0.0218,0.238,0.0648,1.38,Hot Jupiter,357.0,0.11394135270400002,False
Kepler-80 c,Transit,9.52355,0.02121,0.244,0.0792,1.22,Hot Jupiter,357.0,0.11394135270400002,False
Kepler-80 d,Transit,3.07222,0.02124,0.136,0.0372,7.04,iron,357.0,0.11394135270400002,False
Kepler-20 b,Transit,3.69611525,0.03052,0.167,0.0463,8.2,iron,284.88,0.7665352703999998,False
Kepler-20 c,Transit,10.85409089,0.04012,0.272,0.0949,2.5,Neptune,284.88,0.7665352703999998,False
Kepler-20 d,Transit,77.61130017,0.03168,0.245,0.3506,2.7,Neptune,284.88,0.7665352703999998,False
Kepler-21 b,Transit,2.78578,0.01598,0.146,0.042717,6.4,Earth,108.86,25.909118009999993,False
Kepler-22 b,Transit,289.8623,0.113,0.212,0.849,14.7,lead,190.0,0.8678562017439998,False
Kepler-56 b,Transit,10.5016,0.07,0.581,0.1028,0.442,Hot Jupiter,936.96,557.8395886023843,False
Kepler-56 c,Transit,21.40239,0.57,0.874,0.1652,1.06,Hot Jupiter,936.96,557.8395886023843,False
Kepler-30 b,Transit,29.33434,0.036,0.348,0.18,1.02,Hot Jupiter,938.33,0.7982975756249998,False
Kepler-30 c,Transit,60.323105,2.01,1.097,0.3,1.88,Neptune,938.33,0.7982975756249998,False
Kepler-30 d,Transit,143.34394,0.073,0.785,0.5,0.19,Hot Jupiter,938.33,0.7982975756249998,False
Kepler-63 b,Transit,9.4341505,0.378,0.545,0.08,3.0,Mars,200.0,0.63011844,False
GJ 436 b,Radial Velocity,2.64388312,0.07,0.372,0.0291,1.8,Neptune,9.76,0.009890700304000001,False
HATS-4 b,Transit,2.516729,1.323,1.02,0.0362,1.55,Neptune,420.0,0.7480520100000002,False
HATS-5 b,Transit,4.763387,0.237,0.912,0.0542,0.39,Hot Jupiter,257.0,0.5062123281959999,False
HATS-6 b,Transit,3.3252725,0.319,0.998,0.03623,0.399,Hot Jupiter,148.4,0.03429644724899999,False
GJ 1214 b,Transit,1.58040456,0.0197,0.254,0.01411,1.49,Neptune,14.65,5.2707599999999997e-05,False
GJ 3470 b,Radial Velocity,3.3366496,0.04373,0.408,0.0355,0.8,Hot Jupiter,29.45,0.02668322250000001,False
HAT-P-1 b,Transit,4.46529976,0.525,1.319,0.05561,0.282,Hot Jupiter,159.71,2.478215835224999,False
HAT-P-9 b,Transit,3.92289,0.78,1.4,0.053,0.35,Hot Jupiter,480.0,4.974113193984001,False
HAT-P-12 b,Transit,3.2130598,0.211,0.959,0.0384,0.3192,Hot Jupiter,142.5,0.12794928999999997,False
HAT-P-16 b,Transit,2.77596,4.193,1.289,0.0413,2.42,Neptune,235.0,3.5188957603839994,False
HAT-P-18 b,Transit,5.508023,0.197,0.995,0.0559,0.25,Hot Jupiter,166.0,0.18759726562499998,False
CoRoT-2 b,Transit,1.7429935,3.47,1.466,0.02798,1.47,Hot Jupiter,200.0,0.6319868405760001,False
CoRoT-4 b,Transit,9.20205,0.72,1.19,0.09,0.525,Hot Jupiter,741.6,2.5215026297759993,False
CoRoT-5 b,Transit,4.0378962,0.467,1.388,0.04947,0.217,Hot Jupiter,904.65,2.00533921,False
